Account,Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,Cost,Conversions,is_aimax,cat,why
Ortho Excellence,divine dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,4 kids dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,bty bonney lake,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,True,Borderline / Low Intent,Person/practice-name navigational (no service intent)
Ortho Excellence,cost for braces without insurance,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,aspen dental fort wayne,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Clearly Wasteful,Out-of-market geography
Ortho Excellence,parkland dental,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,2,14.77,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,avenue dental care puyallup,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,molina healthcare dentist,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,davis dental group tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,braces for mouth,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,evergreen oral surgery puyallup,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,3,14.12,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,children orthodontist near me,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,evergreen dentist,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,baby dental insurance,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,near dentist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,chiropractors that are open today,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Clearly Wasteful,Non-dental medical / other vertical
Ortho Excellence,best pediatric dentist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,btydental tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,5,0.0,0.0,True,Borderline / Low Intent,Person/practice-name navigational (no service intent)
Ortho Excellence,fusion orthodontics,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,orthodontist puyallup,Phrase match (close variant),Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,2,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,invisalign insurance for adults,Phrase match,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Relevant / Acceptable,Ortho + insurance/coverage question
