Search term,Matched via,Relevance class,Reason,Ad group,Impr.,Clicks,Cost,Conversions
candid pro,AI Max,Clearly Wasteful,DTC mail-order aligner brand (not a local patient),Invisalign,2,0,0.0,0.0
8407 kennedy blvd north bergen,AI Max,Clearly Wasteful,"Bare street address (navigational, no service intent)",Orthodontics,2,0,0.0,0.0
dentist bronx ny,AI Max,Clearly Wasteful,Out-of-market geography,Invisalign,1,0,0.0,0.0
invisalign boston,Phrase match (close variant),Clearly Wasteful,Out-of-market geography,Invisalign,1,0,0.0,0.0
costco eye appointment,AI Max,Clearly Wasteful,Non-dental medical / other vertical,Invisalign,1,0,0.0,0.0
byte,AI Max,Clearly Wasteful,DTC mail-order aligner brand (not a local patient),Orthodontics,1,0,0.0,0.0
ismile orthodontics nyc,AI Max,Clearly Wasteful,Out-of-market geography,Invisalign,1,0,0.0,0.0
746 livingston ave north brunswick nj 08902,AI Max,Clearly Wasteful,"Bare street address (navigational, no service intent)",Orthodontics,1,0,0.0,0.0
213 summerhill rd east brunswick nj,AI Max,Clearly Wasteful,"Bare street address (navigational, no service intent)",Braces,1,0,0.0,0.0
520 lawrence square blvd,AI Max,Clearly Wasteful,"Bare street address (navigational, no service intent)",Orthodontics,1,0,0.0,0.0
dentist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,45,1,3.47,0.0
dentist hillsborough nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,53,0,0.0,0.0
oral surgeon hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,13,0,0.0,0.0
dentist somerville,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,13,0,0.0,0.0
oral surgery near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,7,0,0.0,0.0
dentist belle mead nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,6,0,0.0,0.0
paul haggan dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,6,0,0.0,0.0
endodontist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,5,0,0.0,0.0
oral surgeon hillsborough nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,5,0,0.0,0.0
dentist near bridgewater nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,4,0,0.0,0.0
periodontist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,4,0,0.0,0.0
oral surgeon near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,4,0,0.0,0.0
